order_number,booked_at,click_id,state,price_amount,price_currency,profit_amount,profit_currency
40823392,2025-09-03T05:32:55.287Z,3164983749205947488,paid,60278,rub,2712.51,rub
40823835,2025-09-03T07:45:25.280Z,3165054835813326560,paid,15766,rub,394.15,rub
40824761,2025-09-03T11:03:27.948Z,3165154877899092672,paid,5269,rub,131.72,rub
40826666,2025-09-03T18:11:58.044Z,3165366290198584032,paid,21915,rub,547.88,rub
40823677,2025-09-03T07:00:50.306Z,3165032805879012000,paid,5248,rub,209.92,rub
40827508,2025-09-03T23:17:22.351Z,3165520405008163776,cancelled,11028,rub,0,rub
40826894,2025-09-03T18:54:04.031Z,3165390736869263424,cancelled,11647,rub,291.18,rub
40825921,2025-09-03T15:38:25.533Z,3165291483891552416,cancelled,16386,rub,0,rub
40827355,2025-09-03T21:23:49.214Z,3165466389950192128,paid,48266,rub,2171.97,rub
40825218,2025-09-03T12:53:53.801Z,3165210158624671776,paid,59467,rub,2676.01,rub
40824348,2025-09-03T09:32:49.279Z,3165107963705245856,cancelled,61620,rub,1540.5,rub
40823300,2025-09-03T04:59:35.193Z,3164971822730416576,cancelled,13447,rub,336.18,rub
40824508,2025-09-03T10:07:53.965Z,3165124893208035488,paid,35392,rub,1592.64,rub
40823390,2025-09-03T05:32:43.345Z,3164987605213932480,paid,16827,rub,420.68,rub
40823361,2025-09-03T05:20:58.979Z,3164981282552991488,paid,77312,rub,1932.8,rub
40826003,2025-09-03T15:56:30.739Z,3165302085523394720,paid,8432,rub,210.8,rub
40823721,2025-09-03T07:10:21.338Z,3165032600509110944,cancelled,58524,rub,1463.1,rub
40827022,2025-09-03T19:24:44.769Z,3165406977021568576,cancelled,18924,rub,473.1,rub
40823486,2025-09-03T06:04:33.054Z,3165001064492430432,paid,164845,rub,7418.02,rub
40825902,2025-09-03T15:34:02.898Z,3165283237327706368,paid,55370,rub,2491.65,rub
40823565,2025-09-03T06:28:59.406Z,3165016523650193952,cancelled,25832,rub,645.8,rub
40824089,2025-09-03T08:41:44.518Z,3165082926537928640,paid,83571,rub,3760.69,rub
40825311,2025-09-03T13:13:28.493Z,3165219458279772736,paid,20394,rub,917.73,rub
40827491,2025-09-03T23:00:03.820Z,3165515138623683968,paid,7161,rub,179.03,rub
40824357,2025-09-03T09:33:44.150Z,3165107761420055168,paid,184177,rub,8287.97,rub
40827352,2025-09-03T21:23:01.105Z,3165467121487141376,cancelled,14936,rub,373.4,rub
40826999,2025-09-03T19:18:36.929Z,3165403722893339808,cancelled,6423,rub,0,rub
40823015,2025-09-03T00:30:36.132Z,3164836530855172480,paid,28966,rub,1158.64,rub
40825436,2025-09-03T13:40:32.955Z,3165234078776267328,cancelled,7274,rub,0,rub
